,YEAR,TRANSIT DATE,WAITING TIME,DIRECTION (N/S),BEAM (pies),DRAF (Pies),transit_booking_days,transit_eta_days
986,2022,2022-01-29 00:00:00,3.0,Northbound,105.9,28.0,0,3.0
987,2022,2022-01-29 00:00:00,2.0,Northbound,105.9,26.833,0,2.0
991,2022,2022-01-29 00:00:00,2.0,Northbound,96.6,23.583,0,2.0
995,2022,2022-01-29 00:00:00,2.0,Northbound,97.9,34.667,0,2.0
996,2022,2022-01-29 00:00:00,0.0,Northbound,92.7,33.333,0,0.0
999,2022,2022-01-29 00:00:00,11.0,Southbound,106.0,39.333,0,11.0
1004,2022,2022-01-29 00:00:00,11.0,Southbound,94.6,33.666,0,11.0
1013,2022,2022-01-29 00:00:00,2.0,Southbound,98.6,33.0,0,2.0
1018,2022,2022-01-30 00:00:00,8.0,Northbound,106.0,27.917,0,8.0
1021,2022,2022-01-30 00:00:00,2.0,Northbound,106.0,26.917,0,2.0
1027,2022,2022-01-30 00:00:00,1.0,Northbound,106.0,29.5,0,1.0
1030,2022,2022-01-30 00:00:00,0.0,Northbound,106.0,25.5,0,0.0
1031,2022,2022-01-30 00:00:00,1.0,Northbound,106.0,35.0,0,1.0
1036,2022,2022-01-30 00:00:00,11.0,Southbound,106.0,39.5,0,11.0
1037,2022,2022-01-30 00:00:00,11.0,Southbound,93.3,29.167,0,11.0
1039,2022,2022-01-30 00:00:00,11.0,Southbound,98.7,33.5,0,11.0
1050,2022,2022-01-31 00:00:00,8.0,Northbound,106.0,30.083,0,8.0
1051,2022,2022-01-31 00:00:00,8.0,Northbound,106.0,37.667,0,8.0
1054,2022,2022-01-31 00:00:00,3.0,Northbound,105.9,28.083,0,3.0
1057,2022,2022-01-31 00:00:00,1.0,Northbound,106.0,38.417,0,1.0
1066,2022,2022-01-31 00:00:00,14.0,Southbound,106.0,46.5,0,14.0
1079,2022,2022-01-31 00:00:00,1.0,Southbound,106.0,39.417,0,1.0
1085,2022,2022-02-01 00:00:00,8.0,Northbound,106.0,39.417,0,8.0
1092,2022,2022-02-01 00:00:00,1.0,Northbound,106.0,38.75,0,1.0
1101,2022,2022-02-01 00:00:00,9.0,Southbound,98.6,32.583,4,9.0
1105,2022,2022-02-01 00:00:00,2.0,Southbound,106.0,41.333,0,2.0
1106,2022,2022-02-01 00:00:00,1.0,Southbound,106.0,38.25,0,1.0
