Date,Vessel Count,Vessel DWT
2022-01-01T00:00:00Z,60,3441462
2022-01-02T00:00:00Z,57,3281948
2022-01-03T00:00:00Z,55,3159867
2022-01-04T00:00:00Z,57,3278585
2022-01-05T00:00:00Z,62,3560980
2022-01-06T00:00:00Z,62,3591926
2022-01-07T00:00:00Z,58,3335191
2022-01-08T00:00:00Z,52,2933979
2022-01-09T00:00:00Z,55,3116017
2022-01-10T00:00:00Z,66,3761701
2022-01-11T00:00:00Z,60,3413860
2022-01-12T00:00:00Z,59,3381070
2022-01-13T00:00:00Z,56,3221468
2022-01-14T00:00:00Z,59,3425349
2022-01-15T00:00:00Z,59,3416176
2022-01-16T00:00:00Z,60,3459664
2022-01-17T00:00:00Z,59,3412564
2022-01-18T00:00:00Z,62,3559140
2022-01-19T00:00:00Z,65,3735153
2022-01-20T00:00:00Z,62,3555770
2022-01-21T00:00:00Z,73,4201155
2022-01-22T00:00:00Z,75,4305641
2022-01-23T00:00:00Z,70,4019715
2022-01-24T00:00:00Z,71,4058529
2022-01-25T00:00:00Z,72,4100911
2022-01-26T00:00:00Z,74,4244591
2022-01-27T00:00:00Z,73,4171856
2022-01-28T00:00:00Z,72,4108936
2022-01-29T00:00:00Z,66,3778101
2022-01-30T00:00:00Z,73,4224278
2022-01-31T00:00:00Z,78,4533681
2022-02-01T00:00:00Z,80,4620013
2022-02-02T00:00:00Z,81,4681463
2022-02-03T00:00:00Z,82,4724576
2022-02-04T00:00:00Z,83,4797337
2022-02-05T00:00:00Z,87,5010590
2022-02-06T00:00:00Z,84,4826275
2022-02-07T00:00:00Z,78,4514466
2022-02-08T00:00:00Z,83,4814821
2022-02-09T00:00:00Z,81,4706809
2022-02-10T00:00:00Z,81,4691451
2022-02-11T00:00:00Z,77,4466410
2022-02-12T00:00:00Z,88,5113456
2022-02-13T00:00:00Z,84,4872392
2022-02-14T00:00:00Z,78,4550001
2022-02-15T00:00:00Z,81,4701788
2022-02-16T00:00:00Z,78,4530456
2022-02-17T00:00:00Z,72,4189199
2022-02-18T00:00:00Z,76,4440047
2022-02-19T00:00:00Z,72,4212032
2022-02-20T00:00:00Z,72,4221090
2022-02-21T00:00:00Z,71,4174797
2022-02-22T00:00:00Z,70,4084998
2022-02-23T00:00:00Z,70,4067335
2022-02-24T00:00:00Z,75,4369076
2022-02-25T00:00:00Z,73,4239198
2022-02-26T00:00:00Z,74,4291069
2022-02-27T00:00:00Z,68,3952168
2022-02-28T00:00:00Z,71,4122113
2022-03-01T00:00:00Z,73,4207163
2022-03-02T00:00:00Z,71,4118233
2022-03-03T00:00:00Z,70,4034847
2022-03-04T00:00:00Z,79,4557583
2022-03-05T00:00:00Z,80,4613155
2022-03-06T00:00:00Z,69,3960025
2022-03-07T00:00:00Z,71,4079867
2022-03-08T00:00:00Z,78,4512313
2022-03-09T00:00:00Z,72,4160026
2022-03-10T00:00:00Z,74,4282077
2022-03-11T00:00:00Z,70,4047678
2022-03-12T00:00:00Z,68,3910479
2022-03-13T00:00:00Z,76,4366870
2022-03-14T00:00:00Z,68,3915399
2022-03-15T00:00:00Z,67,3834704
2022-03-16T00:00:00Z,71,4088256
2022-03-17T00:00:00Z,72,4140251
2022-03-18T00:00:00Z,70,4022274
2022-03-19T00:00:00Z,71,4103911
2022-03-20T00:00:00Z,72,4142437
2022-03-21T00:00:00Z,70,4025499
2022-03-22T00:00:00Z,80,4565347
2022-03-23T00:00:00Z,82,4701395
2022-03-24T00:00:00Z,79,4523299
2022-03-25T00:00:00Z,77,4432966
2022-03-26T00:00:00Z,70,4018071
2022-03-27T00:00:00Z,74,4257817
2022-03-28T00:00:00Z,72,4175266
2022-03-29T00:00:00Z,73,4256961
2022-03-30T00:00:00Z,73,4240354
2022-03-31T00:00:00Z,74,4299971
2022-04-01T00:00:00Z,75,4370499
2022-04-02T00:00:00Z,70,4099174
2022-04-03T00:00:00Z,65,3819626
2022-04-04T00:00:00Z,65,3807193
2022-04-05T00:00:00Z,70,4084352
2022-04-06T00:00:00Z,69,4025531
2022-04-07T00:00:00Z,74,4328502
2022-04-08T00:00:00Z,72,4203875
2022-04-09T00:00:00Z,70,4092243
2022-04-10T00:00:00Z,76,4470185
2022-04-11T00:00:00Z,73,4281995
2022-04-12T00:00:00Z,68,3975042
2022-04-13T00:00:00Z,66,3837452
2022-04-14T00:00:00Z,65,3758924
2022-04-15T00:00:00Z,68,3933967
2022-04-16T00:00:00Z,61,3548890
2022-04-17T00:00:00Z,54,3130805
2022-04-18T00:00:00Z,56,3213541
2022-04-19T00:00:00Z,59,3378861
2022-04-20T00:00:00Z,54,3089438
2022-04-21T00:00:00Z,56,3226712
2022-04-22T00:00:00Z,53,3013426
2022-04-23T00:00:00Z,58,3339056
2022-04-24T00:00:00Z,67,3872324
2022-04-25T00:00:00Z,70,4060084
2022-04-26T00:00:00Z,71,4124007
2022-04-27T00:00:00Z,60,3484460
2022-04-28T00:00:00Z,57,3316080
2022-04-29T00:00:00Z,66,3843739
2022-04-30T00:00:00Z,64,3763199
2022-05-01T00:00:00Z,60,3504979
2022-05-02T00:00:00Z,60,3505044
2022-05-03T00:00:00Z,61,3536466
2022-05-04T00:00:00Z,60,3469068
2022-05-05T00:00:00Z,56,3241773
2022-05-06T00:00:00Z,57,3304735
2022-05-07T00:00:00Z,58,3411255
2022-05-08T00:00:00Z,60,3497698
2022-05-09T00:00:00Z,58,3352387
2022-05-10T00:00:00Z,60,3482208
2022-05-11T00:00:00Z,57,3289347
2022-05-12T00:00:00Z,57,3260001
2022-05-13T00:00:00Z,59,3373002
2022-05-14T00:00:00Z,57,3255254
2022-05-15T00:00:00Z,57,3236505
2022-05-16T00:00:00Z,64,3649028
2022-05-17T00:00:00Z,59,3335483
2022-05-18T00:00:00Z,58,3266395
2022-05-19T00:00:00Z,60,3399278
2022-05-20T00:00:00Z,64,3613677
2022-05-21T00:00:00Z,67,3842069
2022-05-22T00:00:00Z,66,3761565
2022-05-23T00:00:00Z,66,3755143
2022-05-24T00:00:00Z,63,3598410
2022-05-25T00:00:00Z,56,3201291
2022-05-26T00:00:00Z,56,3207467
2022-05-27T00:00:00Z,60,3418689
2022-05-28T00:00:00Z,55,3127053
2022-05-29T00:00:00Z,56,3189637
2022-05-30T00:00:00Z,62,3539995
2022-05-31T00:00:00Z,58,3308584
2022-06-01T00:00:00Z,61,3496750
2022-06-02T00:00:00Z,67,3845053
2022-06-03T00:00:00Z,63,3609026
2022-06-04T00:00:00Z,63,3582874
2022-06-05T00:00:00Z,68,3892720
2022-06-06T00:00:00Z,72,4124891
2022-06-07T00:00:00Z,70,4017851
2022-06-08T00:00:00Z,66,3806362
2022-06-09T00:00:00Z,68,3895342
2022-06-10T00:00:00Z,68,3893899
2022-06-11T00:00:00Z,70,3999119
2022-06-12T00:00:00Z,69,3926123
2022-06-13T00:00:00Z,77,4424684
2022-06-14T00:00:00Z,73,4162417
2022-06-15T00:00:00Z,80,4588461
2022-06-16T00:00:00Z,80,4616052
2022-06-17T00:00:00Z,81,4674272
2022-06-18T00:00:00Z,81,4697824
2022-06-19T00:00:00Z,77,4440907
2022-06-20T00:00:00Z,76,4386101
2022-06-21T00:00:00Z,73,4231683
2022-06-22T00:00:00Z,67,3887643
2022-06-23T00:00:00Z,64,3689552
2022-06-24T00:00:00Z,66,3797628
2022-06-25T00:00:00Z,63,3653271
2022-06-26T00:00:00Z,67,3881037
2022-06-27T00:00:00Z,59,3427049
2022-06-28T00:00:00Z,63,3666990
2022-06-29T00:00:00Z,62,3610968
2022-06-30T00:00:00Z,62,3592891
2022-07-01T00:00:00Z,61,3535947
2022-07-02T00:00:00Z,60,3477543
2022-07-03T00:00:00Z,60,3473432
2022-07-04T00:00:00Z,64,3743373
2022-07-05T00:00:00Z,64,3752016
2022-07-06T00:00:00Z,60,3489489
2022-07-07T00:00:00Z,54,3132460
2022-07-08T00:00:00Z,59,3439575
2022-07-09T00:00:00Z,59,3415288
2022-07-10T00:00:00Z,56,3219623
2022-07-11T00:00:00Z,57,3279488
2022-07-12T00:00:00Z,65,3760655
2022-07-13T00:00:00Z,69,3992359
2022-07-14T00:00:00Z,72,4165283
2022-07-15T00:00:00Z,69,3987631
2022-07-16T00:00:00Z,71,4086865
2022-07-17T00:00:00Z,72,4113821
2022-07-18T00:00:00Z,66,3756681
2022-07-19T00:00:00Z,66,3765569
2022-07-20T00:00:00Z,64,3648203
2022-07-21T00:00:00Z,66,3767850
